Hosts,CpuTime(ms)
hdc49-mcc10-01-0710-3302-007-tess0035.stratus.rno.ebay.com,214
hdc49-mcc10-01-0910-1701-015-tess0028.stratus.rno.ebay.com,212
hdc49-mcc10-01-0910-1710-004-tess0028.stratus.rno.ebay.com,208
hdc49-mcc10-01-0710-2509-030-tess0035.stratus.rno.ebay.com,207
hdc49-mcc10-01-0710-4205-004-tess0035.stratus.rno.ebay.com,182
hdc49-mcc10-01-0710-3509-029-tess0035.stratus.rno.ebay.com,179
hdc49-mcc10-01-0910-1901-036-tess0028.stratus.rno.ebay.com,146
hdc49-mcc10-01-0710-4102-036-tess0035.stratus.rno.ebay.com,145
hdc49-mcc10-01-0910-1701-016-tess0028.stratus.rno.ebay.com,143
hdc49-mcc10-01-0710-2603-027-tess0035.stratus.rno.ebay.com,143
hdc49-mcc10-01-0710-2202-037-tess0035.stratus.rno.ebay.com,138
hdc49-mcc10-01-0710-3708-015-tess0035.stratus.rno.ebay.com,134
hdc49-mcc10-01-0710-3908-014-tess0035.stratus.rno.ebay.com,130
hdc49-mcc10-01-0710-3509-040-tess0035.stratus.rno.ebay.com,130
hdc49-mcc10-01-0710-2605-009-tess0035.stratus.rno.ebay.com,129
hdc49-mcc10-01-0910-1701-033-tess0028.stratus.rno.ebay.com,129
hdc49-mcc10-01-0710-3302-027-tess0035.stratus.rno.ebay.com,128
hdc49-mcc10-01-0710-2003-014-tess0035.stratus.rno.ebay.com,15
hdc49-mcc10-01-0710-3602-032-tess0035.stratus.rno.ebay.com,13
hdc49-mcc10-01-0710-3503-007-tess0035.stratus.rno.ebay.com,12
hdc49-mcc10-01-0710-3709-027-tess0035.stratus.rno.ebay.com,11
hdc49-mcc10-01-0710-3709-022-tess0035.stratus.rno.ebay.com,10
hdc49-mcc10-01-0710-4105-033-tess0035.stratus.rno.ebay.com,10
hdc49-mcc10-01-0710-2605-005-tess0035.stratus.rno.ebay.com,9
hdc49-mcc10-01-0910-1701-026-tess0028.stratus.rno.ebay.com,9
hdc49-mcc10-01-0710-3503-023-tess0035.stratus.rno.ebay.com,9
hdc49-mcc10-01-0710-3409-001-tess0035.stratus.rno.ebay.com,9
hdc49-mcc10-01-0710-2605-013-tess0035.stratus.rno.ebay.com,8
hdc49-mcc10-01-0710-3709-001-tess0035.stratus.rno.ebay.com,3
hdc49-mcc10-01-0710-3409-004-tess0035.stratus.rno.ebay.com,3
